Series_reference,Period,Data_value,STATUS,UNITS,MAGNITUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
SNEA.SG00NAC00B15,1972.03,6990,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1973.03,8080,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1974.03,9361,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1975.03,10203,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1976.03,11506,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1977.03,13972,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1978.03,15667,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1979.03,17810,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1980.03,20546,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1981.03,23988,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1982.03,29028,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1983.03,33426,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1984.03,37253,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1985.03,42244,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1986.03,48779,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1987.03,57953,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1988.03,65167,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1989.03,70628,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1990.03,74635,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1991.03,76167,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1992.03,75986,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1993.03,78309,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1994.03,84460,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1995.03,90337,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1996.03,96236,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1997.03,101101,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1998.03,104815,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1999.03,106826,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2000.03,113229,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2001.03,119839,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2002.03,128712,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2003.03,135181,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2004.03,144502,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2005.03,154559,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2006.03,162937,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2007.03,172004,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2008.03,186673,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
